"author_id","avatar","bio","name"
"1",,"罗贝托·波拉尼奥（1953-2003），智利当代小说家、诗人。代表作《2666》《荒野侦探》以宏大叙事与深刻社会洞察，展现拉丁美洲历史与现实，被誉为21世纪最具影响力的西班牙语文学作品。","罗贝托·波拉尼奥"
"2",,"达里奥·福（1926-2016），意大利剧作家、导演，1997年诺贝尔文学奖得主。代表作《一个无政府主义者的意外死亡》以讽刺幽默批判社会现实，开创政治戏剧新形式。","达里奥•福"
"3",,"弗吉尼亚·伍尔夫（1882-1941），英国现代主义文学代表作家，意识流文学奠基人之一。代表作《达洛维夫人》《到灯塔去》突破传统叙事结构，以内心独白展现人物心理，对20世纪文学发展影响深远。","弗吉尼亚·伍尔夫"
"4",,"罗贯中（约1330-约1400），元末明初小说家、戏曲家，中国古典四大名著《三国演义》作者。其作品以宏大历史叙事和鲜明人物形象，成为中国古典历史小说的典范，对后世文学创作影响深远。","罗贯中"
"5",,"鲁迅（1881-1936），原名周树人，中国近代文学奠基人、思想家、革命家。新文化运动核心人物，代表作《呐喊》《彷徨》《朝花夕拾》等，其作品以深刻的社会批判和文学创新性，对中国现代文学和思想发展产生深远影响。","鲁迅;景宋"
"6",,"林语堂（1895-1976），中国现代作家、翻译家、语言学家，擅长用英文向西方介绍中国文化。代表作《京华烟云》《吾国与吾民》，作品兼具文学性与思想性，在中外文化交流中发挥重要作用。","林语堂"
"7",,"文森特·威廉·梵高（1853-1890），荷兰后印象派画家，西方现代艺术先驱。代表作《星夜》《向日葵》系列以强烈色彩与情感表达，展现独特艺术风格，对现代绘画影响深远。","(荷)文森特·威廉·梵高"
"8",,"【墨】胡安鲁尔福，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","【墨】胡安鲁尔福"
"9",,"张爱玲（1920-1995），中国现代著名女作家，擅长描绘民国时期上海、香港的社会生活与人性百态。代表作《金锁记》《倾城之恋》《半生缘》，文字风格细腻华丽，情感表达深刻，在华语文学界具有重要地位。","张爱玲"
"10",,"钱锺书（1910-1998），中国现代学者、作家，代表作《围城》是中国现代文学史上经典讽刺小说，学术著作《管锥编》《谈艺录》展现深厚国学功底与中西文化修养，被誉为“文化昆仑”。","钱锺书"
"11",,"李敖（1935-2018），中国台湾作家、历史学家、评论家，以犀利文风与批判精神著称。代表作《北京法源寺》《李敖大全集》，内容涵盖历史、文学、时政等领域，兼具学术性与思想性。","李敖"
"12",,"卜伽丘(Giovanni Boccaccio)，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","卜伽丘(Giovanni Boccaccio)"
"13",,"胡里奥·科塔萨尔，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","胡里奥·科塔萨尔"
"14",,"鲁迅（1881-1936），原名周树人，中国近代文学奠基人、思想家、革命家。新文化运动核心人物，代表作《呐喊》《彷徨》《朝花夕拾》等，其作品以深刻的社会批判和文学创新性，对中国现代文学和思想发展产生深远影响。","鲁迅"
"15",,"萧红（1911-1942），原名张廼莹，“民国四大才女”之一，中国现代女作家。代表作《呼兰河传》以自传体形式描绘东北乡村风土人情，《生死场》展现抗日战争时期农民悲惨命运，文字风格独特且富有感染力。","萧红"
"16",,"三毛（1943-1991），原名陈平，中国台湾作家、旅行家。代表作《撒哈拉的故事》《雨季不再来》记录世界各地旅行经历与生活感悟，文字充满浪漫主义色彩，深受两岸三地读者喜爱。","三毛"
"17",,"钱锺书（1910-1998），中国现代学者、作家，代表作《围城》是中国现代文学史上经典讽刺小说，学术著作《管锥编》《谈艺录》展现深厚国学功底与中西文化修养，被誉为“文化昆仑”。","钱钟书"
"18",,"肯·福莱特（1949- ），英国当代畅销小说作家，擅长历史悬疑与惊悚题材。代表作“世纪三部曲”（《巨人的陨落》《世界的凛冬》《永恒的边缘》）以全球视角展现20世纪重大历史事件，兼具文学性与可读性。","肯·福莱特"
"19",,"巴金（1904-2005），原名李尧棠，中国现代著名作家，代表作“激流三部曲”（《家》《春》《秋》）深刻反映中国社会变革时期的家庭与人性，作品充满人文关怀，对中国现代文学影响深远。","巴金"
"20",,"露易莎·梅·奥尔科特，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","露易莎·梅·奥尔科特"
"21",,"（英）肯•福莱特 Ken Follett，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","（英）肯•福莱特 Ken Follett"
"22",,"[意] 埃莱娜·费兰特，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","[意] 埃莱娜·费兰特"
"23",,"严歌苓，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","严歌苓"
"24",,"余秋雨，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","余秋雨"
"25",,"朱生豪，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","朱生豪"
"26",,"王小波，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","王小波"
"27",,"沈从文，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","沈从文"
"28",,"加西亚·马尔克斯（1927-2014），哥伦比亚作家，魔幻现实主义文学代表人物，1982年诺贝尔文学奖得主。代表作《百年孤独》《霍乱时期的爱情》以丰富想象力与深刻内涵，成为世界文学经典。","（哥伦比亚）加西亚·马尔克斯 著 范晔 译"
"29",,"伊塔洛•卡尔维诺，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","伊塔洛•卡尔维诺"
"30",,"但丁·阿利格耶里，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","但丁·阿利格耶里"
"31",,"废名，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","废名"
"32",,"西蒙娜·德·波伏瓦 (Simone de Beauvoir)，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","西蒙娜·德·波伏瓦 (Simone de Beauvoir)"
"33",,"略萨，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","略萨"
"34",,"朱光潜，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","朱光潜"
"35",,"里尔克，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","里尔克"
"36",,"普里莫·莱维，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","普里莫·莱维"
"37",,"胡赛尼，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","胡赛尼"
"38",,"多丽丝·莱辛(Doris Lessing)，陈才宇，刘新民，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","多丽丝·莱辛(Doris Lessing)，陈才宇，刘新民"
"39",,"马伯庸，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","马伯庸"
"40",,"阿城，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","阿城"
"41",,"[阿根廷]豪尔赫·路易斯·博尔赫斯，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","[阿根廷]豪尔赫·路易斯·博尔赫斯"
"42",,"曹禺，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","曹禺"
"43",,"多梅尼科·斯塔尔诺内(Domenico Starnone)，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","多梅尼科·斯塔尔诺内(Domenico Starnone)"
"44",,"迪诺·布扎蒂，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","迪诺·布扎蒂"
"45",,"老舍，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","老舍"
"46",,"[意]卡洛·罗韦利，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","[意]卡洛·罗韦利"
"47",,"比尔·布莱森，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","比尔·布莱森"
"48",,"光子，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","光子"
"49",,"艾米· 里奇，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","艾米· 里奇"
"50",,"朱迪亚·珀尔，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","朱迪亚·珀尔"
"51",,"【英】理查德·道金斯，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","【英】理查德·道金斯"
"52",,"夏萌，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","夏萌"
"53",,"费曼，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","费曼"
"54",,"加来道雄，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","加来道雄"
"55",,"米歇尔•沃尔德罗普，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","米歇尔•沃尔德罗普"
"56",,"肖恩·卡罗尔，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","肖恩·卡罗尔"
"57",,"西蒙·纽康，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","西蒙·纽康"
"58",,"【美】库兹韦尔 （Kurzweil，R. ），中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","【美】库兹韦尔 （Kurzweil，R. ）"
"59",,"王大可，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","王大可"
"60",,"[美]卡尔·齐默（Carl Zimmer），中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","[美]卡尔·齐默（Carl Zimmer）"
"61",,"保罗·卡拉尼什，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","保罗·卡拉尼什"
"62",,"史蒂夫·斯托加茨，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","史蒂夫·斯托加茨"
"63",,"Anna Lembke，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","Anna Lembke"
"64",,"【美】伦道夫·M.尼斯，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","【美】伦道夫·M.尼斯"
"65",,"马修•沃克，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","马修•沃克"
"66",,"【英】斯蒂芬·韦斯塔比，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","【英】斯蒂芬·韦斯塔比"
"67",,"项亮，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","项亮"
"68",,"史蒂芬·霍金，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","史蒂芬·霍金"
"69",,"[美] 吴军，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","[美] 吴军"
"70",,"[美] 阿图•葛文德，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","[美] 阿图•葛文德"
"71",,"[以色列]尤瓦尔·赫拉利，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","[以色列]尤瓦尔·赫拉利"
"72",,"汪诘，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","汪诘"
"73",,"罗伯特•赖特，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","罗伯特•赖特"
"74",,"（美）马丁·布莱泽（Martin J.Blaser），中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","（美）马丁·布莱泽（Martin J.Blaser）"
"75",,"罗伯特•麦克法伦，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","罗伯特•麦克法伦"
"76",,"卡洛·罗韦利，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","卡洛·罗韦利"
"77",,"【美】迈克斯·泰格马克;汪婕舒译，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","【美】迈克斯·泰格马克;汪婕舒译"
"78",,"薛定谔，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","薛定谔"
"79",,"菠萝，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","菠萝"
"80",,"杰森·冯，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","杰森·冯"
"81",,"[英] 罗杰·彭罗斯，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","[英] 罗杰·彭罗斯"
"82",,"布莱恩·格林，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","布莱恩·格林"
"83",,"罗伯特·兰札，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","罗伯特·兰札"
"84",,"范内瓦·布什，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","范内瓦·布什"
"85",,"埃里克·乔根森，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","埃里克·乔根森"
"86",,"未知作者，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","未知作者"
"87",,"切特·雷莫，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","切特·雷莫"
"88",,"朱莉娅·恩德斯，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","朱莉娅·恩德斯"
"89",,"汪波，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","汪波"
"90",,"丹尼尔·利伯曼，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","丹尼尔·利伯曼"
"91",,"埃里克·坎德尔，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","埃里克·坎德尔"
"92",,"蒂姆·斯佩克特，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","蒂姆·斯佩克特"
"93",,"卡尔·萨根，外国当代作家，擅长特定文学领域创作，代表作在国际文坛具有一定知名度，其创作风格独特，对所在国文学发展有积极贡献。","（美）卡尔·萨根"
"94",,"[明]袁了凡撰，尚荣、徐敏、赵锐评注，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","[明]袁了凡撰，尚荣、徐敏、赵锐评注"
"95",,"戴尔•卡内基 (Dale Camegeie)，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","戴尔•卡内基 (Dale Camegeie)"
"96",,"克里希那穆提，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","克里希那穆提"
"97",,"乔丹·彼得森，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","乔丹·彼得森"
"98",,"叔本华(Arthur Schopenhauer)，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","叔本华(Arthur Schopenhauer)"
"99",,"[美] 彼得·德鲁克（Peter F.Drucker） 著，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","[美] 彼得·德鲁克（Peter F.Drucker） 著"
"100",,"柯林斯，外国当代作家，擅长特定文学领域创作，代表作在国际文坛具有一定知名度，其创作风格独特，对所在国文学发展有积极贡献。","（美）柯林斯"
"101",,"上野千鹤子，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","上野千鹤子"
"102",,"〔德〕博多·舍费尔，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","〔德〕博多·舍费尔"
"103",,"[德]埃克哈特·托利，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","[德]埃克哈特·托利"
"104",,"[美]罗伯特·B·西奥迪尼，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","[美]罗伯特·B·西奥迪尼"
"105",,"项飙，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","项飙"
"106",,"希阿荣博堪布，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","希阿荣博堪布"
"107",,"脱不花，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","脱不花"
"108",,"卡罗琳•克利亚多•佩雷斯，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","卡罗琳•克利亚多•佩雷斯"
"109",,"[美] 彼得F.德鲁克（Peter F.Drucker） 著，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","[美] 彼得F.德鲁克（Peter F.Drucker） 著"
"110",,"[美] 卡罗尔·德韦克，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","[美] 卡罗尔·德韦克"
"111",,"阿尔弗雷德·阿德勒，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","阿尔弗雷德·阿德勒"
"112",,"周岭，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","周岭"
"113",,"汉斯·约阿西姆·施杜里希，外国当代作家，擅长特定文学领域创作，代表作在国际文坛具有一定知名度，其创作风格独特，对所在国文学发展有积极贡献。","（德）汉斯·约阿西姆·施杜里希"
"114",,"冯友兰，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","冯友兰"
"115",,"【德】叔本华，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","【德】叔本华"
"116",,"林欣浩，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","林欣浩"
"117",,"威尔•杜兰特 (Will Durant)，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","威尔•杜兰特 (Will Durant)"
"118",,"[美]罗伯特·所罗门，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","[美]罗伯特·所罗门"
"119",,"[德]马丁·海德格尔，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","[德]马丁·海德格尔"
"120",,"莎拉·贝克韦尔，外国当代作家，擅长特定文学领域创作，代表作在国际文坛具有一定知名度，其创作风格独特，对所在国文学发展有积极贡献。","（英）莎拉·贝克韦尔著；沈敏一译"
"121",,"赫尔曼·黑塞，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","赫尔曼·黑塞"
"122",,"弗里德里希&#183;尼采，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","弗里德里希&#183;尼采"
"123",,"尼采，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","尼采"
"124",,"柏拉图，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","柏拉图"
"125",,"福柯，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","福柯"
"126",,"康德(Kant.I.)，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","康德(Kant.I.)"
"127",,"[挪]乔斯坦·贾德，中国当代作家，专注于特定题材创作，代表作包括经典作品多部，其作品以独特写作风格为特色，在相关文学领域具有一定影响力，深受目标读者群体喜爱。","[挪]乔斯坦·贾德"
"128",,"罗素 ,张作成编，外国当代作家，擅长特定文学领域创作，代表作在国际文坛具有一定知名度，其创作风格独特，对所在国文学发展有积极贡献。","（英）罗素 ,张作成编译"
"129",,"邓晓芒 赵林，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","邓晓芒 赵林"
"130",,"赵林，当代创作者，专注于自身擅长领域的内容创作，作品具有一定的思想性与艺术性，在相关受众群体中获得认可与好评。","赵林"
